County FIPS,demand_covered,total_demand_of_county,hot_spot,county_name,state_name,priority,percentage_for_30,percentage_for_50,percentage_for_70
01001,23,23,0.041167732,Autauga,AL,24325.3626,100,100,100
01003,27,27,0.012094932,Baldwin,AL,48263.1908,100,100,100
01005,12,12,0.048610548,Barbour,AL,24584.7874,100,100,100
01007,1,3,0.013396445,Bibb,AL,13443.1182,33.33333333,100,100
01009,5,5,0.00864663,Blount,AL,24529.7892,100,100,100
01011,0,8,0.079200079,Bullock,AL,8987.8698,0,100,100
01013,63,72,0.370218017,Butler,AL,16828.3544,87.5,100,100
01015,15,15,0.013203644,Calhoun,AL,93746.846,100,100,100
01017,14,14,0.042100198,Chambers,AL,24548.1028,100,100,100
01019,0,6,0.02290426,Cherokee,AL,11830.1136,0,100,100
01021,8,8,0.018006662,Chilton,AL,33774.1656,100,100,100
01023,0,13,0.103264755,Choctaw,AL,11012.8572,0,100,100
01025,17,17,0.071966811,Clarke,AL,20010.1962,100,100,100
01027,0,4,0.030222894,Clay,AL,7464.54,0,100,100
01029,0,1,0.006706908,Cleburne,AL,8076.747,0,100,100
01031,21,21,0.040120744,Coffee,AL,28306.5536,100,100,100
01033,22,22,0.039825492,Colbert,AL,23610.0034,100,100,100
01035,0,3,0.024861192,Conecuh,AL,9757.3762,0,100,100
01037,0,2,0.018756448,Coosa,AL,5609.8043,0,100,100
01039,10,10,0.026991282,Covington,AL,28612.9427,100,100,100
01041,0,15,0.108916642,Crenshaw,AL,9465.4956,0,100,100
01043,6,6,0.00716264,Cullman,AL,43408.5776,100,100,100
01045,10,10,0.020336777,Dale,AL,37365.8028,100,100,100
01047,43,43,0.115603828,Dallas,AL,35299.004,100,100,100
01049,43,43,0.060128928,DeKalb,AL,57367.7286,100,100,100
01051,34,34,0.041867281,Elmore,AL,43860.9809,100,100,100
01053,5,5,0.013648896,Escambia,AL,31346.8581,100,100,100
01055,33,33,0.032268158,Etowah,AL,67128.7152,100,100,100
01057,0,1,0.006134217,Fayette,AL,11473.3476,0,100,100
01059,94,94,0.299725783,Franklin,AL,26397.3954,100,100,100
01061,4,4,0.015225915,Geneva,AL,20898.5805,100,100,100
01063,0,12,0.147947232,Greene,AL,7992.5794,0,100,100
01065,5,14,0.095556617,Hale,AL,14063.4949,35.71428571,100,100
01067,0,4,0.023249056,Henry,AL,9495.4395,0,100,100
01069,12,12,0.011333371,Houston,AL,72402.1116,100,100,100
01071,7,7,0.013559059,Jackson,AL,29561.0476,100,100,100
01073,124,124,0.018828588,Jefferson,AL,436041.1833,100,100,100
01075,0,2,0.014487505,Lamar,AL,8647.452,0,100,100
01077,29,29,0.031273927,Lauderdale,AL,41431.3172,100,100,100
01079,5,8,0.024298384,Lawrence,AL,16303.9648,62.5,100,100
01081,25,25,0.015193689,Lee,AL,108630.6284,100,100,100
01083,7,7,0.007076783,Limestone,AL,52385.384,100,100,100
